"par_tekst","LEMMA_ID","GRUNNFORM","val","kommentar","unntak"
"680,686",116006,"for","680","Bøyingane er like, så har ikkje noko å seia kva me vel",
"49G,49H",115901,"ein","49H","«Eitt» ikkje «eit»",
"001,037,037B",10500,"bruke","001","-ar-ending på alle ord utanom «bruka», «(for)klara», «spela», «skapa», «lika» og «tapa», som får blanda bøying, jf. retningslinjene","88197=037B,10500=037B,46908=037B,24464=037B,94790=037B,55462=037B,81367=037B,61171=037B"
"700,800",10489,"bruk","800","Som standard inkjekjønn i staden for hankjønn, men med mange unntak (og fleire kan det bli)","10489=700,107185=700,58538=700,38431=700,90776=700,88770=700,70946=700,13803=700,84121=700,63320=700,7256=700,5309=700,10932=700,42314=700,88874=700,98227=700,36602=700,87178=700,90021=700,94641=700,95126=700,50652=700,99929=700"
"700,800,900",111655,"vis","800","Eks. at «dei er bra på sine vis» (ikkje «viser»/«visar»)",
"688,692",115930,"eller","688","Bøyingane er like, så har ikkje noko å seia kva me vel",
"090,091",65938,"nå","090","Har «nådd», ikkje «nått»",
"700,705",54714,"legg","700","«Leggane», ikkje «leggene»",
"500,506",39378,"høg","500","«Høgaste», ikkje «høgste»",
"198,198S",65491,"nyte","198","Har «note», ikkje «nytt»",
"001,041,041T",85610,"slette","001","No «slettar» eg, i går «sletta» eg, ikkje «sletter» og/eller «slette»",
"376,377",86032,"slå","377","«Slått», ikkje «slegen»",
"700,900",95209,"tekst",,"Ingen regel («teksten», ikkje «teksta», men det er ikkje slik at me alltid føretrekker hankjønn framfor hokjønn der me kan velja)",
"489,48A",116603,"nokon","48A","«Nokre folk», ikkje «nokon folk»",
"702,905",19872,"farge","702","Hankjønn, ikkje hokjønn, med med mange unntak","78112=905,32849=905,5274=905,4703=905,59469=905,31748=905"
"702,802",53664,"lage","802","*Substantivet* «lage» bør vera inkjekjønn",
"154,155",7900,"bli","155","«vart», ikkje «blei» i preteritum",
"001,419",110103,"verje","001","«verja», ikkje «varde», i preteritum",
"66A,66AE,66E",55851,"liten","66E","Den «vesle», ikkje «litle»",
"015,030",72136,"prøve","030","Har «prøvd», ikkje «prøvt»",
"233,234",30334,"gjelde","234","«gjaldt», ikkje «gjeldt» i preteritum; «gjeldt», ikkje «golden» i perf-part",
"001,087",30333,"gjelde","001","Ar-ending i presens. (Men ordet er lite brukt i datasamanheng …)",
