"par_tekst","LEMMA_ID","GRUNNFORM","val","kommentar","unntak"
"680,686",116006,"for","680","Bøyingane er like, så har ikkje noko å seia kva me vel",
"49G,49H",115901,"ein","49H","«Eitt» ikkje «eit»",
"001,037,037B",10500,"bruke","001","-ar-ending på alle ord utanom «bruka», «klara» og «spela», som får blanda bøying, jf. retningslinjene","88197=037B,10500=037B,46908=037B"
"700,800",10489,"bruk","700","«Bruken» av noko, ikkje «bruket» av noko",
"700,800,900",111655,"vis","800","Eks. at «dei er bra på sine vis» (ikkje «viser»/«visar»)",
"688,692",115930,"eller","688","Bøyingane er like, så har ikkje noko å seia kva me vel",
"090,091",65938,"nå","090","Har «nådd», ikkje «nått»",
"700,705",54714,"legg","700","«Leggane», ikkje «leggene»",
"500,506",39378,"høg","500","«Høgaste», ikkje «høgste»",
"198,198S",65491,"nyte","198","Har «note», ikkje «nytt»",
"001,041,041T",85610,"slette","001","No «slettar» eg, i går «sletta» eg, ikkje «sletter» og/eller «slette»",
"376,377",86032,"slå","377","«Slått», ikkje «slegen»",
"700,900",95209,"tekst",,"Ingen regel («teksten», ikkje «teksta», men det er ikkje slik at me alltid føretrekker hankjønn framfor hokjønn der me kan velja)",
"489,48A",116603,"nokon","48A","«Nokre folk», ikkje «nokon folk»",
"702,905",19872,"farge",,"Førebels ingen regel (heller mot hankjønn, men treng nok nokre unntak då)",
"702,802",53664,"lage","802","*Substantivet* «lage» bør vera inkjekjønn",
"154,155",7900,"bli","155","«vart», ikkje «blei» i preteritum",
"001,419",110103,"verje","001","«verja», ikkje «varde», i preteritum",
"66A,66AE,66E",55851,"liten","66E","Den «vesle», ikkje «litle»",
"015,030",72136,"prøve","030","Har «prøvd», ikkje «prøvt»",
"233,234",30334,"gjelde",,,
"001,087",30333,"gjelde",,,
"260,262",34235,"halde",,,
"098,099",28013,"fø",,,
"66EE,66EF,66EG,66EH",115439,"små",,,
"001,393,393T",64424,"neste",,,
"037,321",870,"ale",,,
"118,349",18007,"elje",,,
"700,750",49754,"konto",,,
"800,809",83690,"skrift",,,
"749,789,790,800",13329,"datum",,,
"802,905",78672,"sende",,,
"325,328X",94157,"ta",,,
"572,572T",66840,"open",,,
"341,373,374",14863,"dra",,,
"001,015",73944,"regne",,,
"027,028",39458,"høgje",,,
"215,216",56132,"lyde",,,
"700,756",61612,"modus",,,
